0,34,36,38,40
77,1.2596,1.2899,1.4354,1.3228
82,1.2732,1.2325,1.4541,1.4523
87,1.2306,1.1673,1.3953,1.3949
92,1.2984,1.269,1.351,1.4697
98,1.2307,1.2869,1.372,1.4348
104,1.2829,1.172,1.349,1.3694
110,1.2408,1.264,1.2587,1.419
117,1.1982,1.2179,1.3329,1.3715
124,1.2935,1.1256,1.3247,1.3301
131,1.2314,1.2908,1.3688,1.493
139,1.1904,1.2064,1.344,1.3531
148,1.2194,1.1781,1.3116,1.3917
157,1.2829,1.2306,1.3666,1.295
166,1.2248,1.1411,1.6041,1.2845
176,1.2268,1.1716,1.3531,1.4902
187,1.1397,1.2264,1.6457,1.3445
198,1.1653,1.1856,1.2675,1.3337
210,1.0321,1.0317,1.1291,1.1658
223,0.89291,0.82236,0.92437,0.97549
237,0.6213,0.59872,0.66978,0.63551
251,0.37047,0.37594,0.37486,0.38573
267,0.21128,0.20426,0.2253,0.20867
283,0.10613,0.10079,0.10509,0.1034
296,0.068218,0.065618,0.071518,0.062334
