0,35,37,39
77,0.79015,0.77742,0.75796
82,0.74986,0.75012,0.69315
87,0.69307,0.66009,0.63355
92,0.62795,0.66525,0.53939
98,0.61062,0.57626,0.5301
104,0.57789,0.55083,0.48195
110,0.57324,0.47221,0.40795
117,0.51136,0.42393,0.44605
124,0.51616,0.39458,0.36553
131,0.42769,0.38475,0.36799
139,0.41404,0.37243,0.36963
148,0.4284,0.35479,0.35219
157,0.37179,0.38169,0.36809
166,0.44558,0.37573,0.37363
176,0.4731,0.43809,0.41555
187,0.46668,0.45468,0.44751
198,0.45982,0.49063,0.41949
210,0.57416,0.4645,0.47872
223,0.51925,0.48151,0.45662
237,0.41409,0.40776,0.37406
251,0.30128,0.28224,0.26423
267,0.18559,0.16417,0.16601
283,0.10593,0.10851,0.090977
296.5,0.064584,0.066124,0.060883
