0,401,402,403,404,405
77,0.7577,0.63746,0.79907,0.66882,0.71576
88,0.60007,0.62547,0.67868,0.63694,0.63529
100,0.52851,0.48044,0.47188,0.49612,0.49424
110,0.45074,0.41935,0.40861,0.45969,0.4346
120,0.36102,0.36074,0.37659,0.33689,0.35881
130,0.33701,0.33967,0.34961,0.33825,0.34113
140,0.32594,0.38945,0.31965,0.35754,0.34814
150,0.34289,0.33704,0.34708,0.33151,0.33963
160,0.36318,0.35823,0.37733,0.32031,0.35476
170,0.37115,0.36811,0.38534,0.36878,0.37335
180,0.40784,0.40015,0.37221,0.38254,0.39069
190,0.41894,0.42932,0.42049,0.43959,0.42709
200,0.47801,0.4804,0.46834,0.45646,0.4708
210,0.54784,0.51364,0.51103,0.53024,0.52569
220,0.49245,0.48657,0.52767,0.52012,0.5067
230,0.47857,0.43114,0.44648,0.44909,0.45132
240,0.39422,0.36201,0.36237,0.40088,0.37987
251,0.32897,0.28594,0.28556,0.29603,0.29912
262,0.21333,0.20092,0.20093,0.19585,0.20276
273,0.14702,0.13928,0.15344,0.14718,0.14673
284,0.10328,0.1037,0.098924,0.09516,0.10027
295,0.063944,0.065846,0.064758,0.062133,0.06417
