Temp_K,tauRad_us,tauSRH_us,tauAug_us,Total_us
50,0.523842395141681,1.03821866716543,6.59901155047439e+19,0.348170098091733
51,0.539060793427915,1.02799005721682,2.57533793409821e+19,0.353625496997314
52,0.554404952010228,1.01805806354188,1.04124472188706e+19,0.358937810479053
53,0.569873432394013,1.00840865944647,4.35186654080234e+18,0.36410810652009
54,0.5854648705454,0.999028738120677,1.87632318700332e+18,0.369137639707716
55,0.601177973747756,0.989906037987394,8.32938549271336e+17,0.374027833683613
56,0.617011517527025,0.981029075502884,3.80022693553557e+17,0.378780264565432
57,0.632964342647452,0.972387084557357,1.77895729196808e+17,0.383396645336023
58,0.649035352179702,0.963969961733509,8.53092175369426e+16,0.387878811190343
59,0.665223508643577,0.955768216775453,4.18465827339254e+16,0.392228705824532
60,0.681527831227621,0.947772927701318,2.09680810009231e+16,0.396448368646899
61,0.69794739308778,0.939975700062437,1.07184776373415e+16,0.40053992288652
62,0.714481318727104,0.932368629912058,5.58293861750892e+15,0.404505564571816
63,0.731128781458213,0.924944270098469,2.95981595644147e+15,0.408347552348722
64,0.747889000949911,0.91769559954244,1.59548030319721e+15,0.412068198105964
65,0.764761240858994,0.910615995198034,873636353764764,0.415669858373312
66,0.781744806547932,0.903699206429928,485516221017983,0.419154926457568
67,0.798839042888727,0.89693933157015,273630338027935,0.422525825280317
68,0.816043332152879,0.890330796443212,156277627671182,0.425785000881141
69,0.833357091987083,0.883868334671461,90388957700762.7,0.428934916549971
70,0.850779773473913,0.877546969592543,52912887146228.3,0.431978047552522
71,0.868310859276481,0.871361997638566,31333014181206,0.434916876413248
72,0.88594986186576,0.865308973042161,18759799364222.5,0.437753888720964
73,0.903696321829057,0.859383693748408,11351455029588.6,0.440491569423131
74,0.921549806257854,0.853582188423828,6939104008823.53,0.443132399575808
75,0.939509907213129,0.847900704464477,4283827087608.98,0.445678853517386
76,0.957576240266012,0.842335696914794,2669931468390.89,0.448133396435361
77,0.975748443111615,0.836883818217455,1679514312676.17,0.450498482296692
78,0.994026174253677,0.831541908722099,1066029915699.85,0.452776552113529
79,1.01240911175766,0.826306987887663,682579162578.188,0.45497003251742
80,1.03089695206979,0.821176246119126,440796491968.3,0.457081334616393
