Temp_K,tauRad_us,tauSRH_us,tauAug_us,Total_us
50,1.48764340250464,0.611251597018203,2.0142257623708,0.356549415447169
51,1.53082948292017,0.605229267237009,1.92655593373652,0.354036437408334
52,1.57437056219752,0.599381504804556,1.84687118118177,0.351491718902487
53,1.61826254594559,0.593700036028665,1.77423986534421,0.348928018134654
54,1.66250156050865,0.588177126041988,1.70786175135331,0.346356474808795
55,1.70708394446229,0.582805534524626,1.64704656801752,0.343786759927498
56,1.75200624023538,0.577578475799159,1.59119650206671,0.341227218597075
57,1.79726518586326,0.572489582798089,1.53979183071212,0.338685004567177
58,1.84285770687938,0.567532874468805,1.49237907124129,0.33616620574134
59,1.88878090835402,0.562702726236795,1.44856116024837,0.333675960293397
60,1.93503206708963,0.557993843195643,1.40798927792171,0.33121856333062
61,1.98160862398236,0.553401235733384,1.37035601225833,0.328797564272424
62,2.02850817655938,0.548920197340246,1.33538961982921,0.326415855277878
63,2.07572847170093,0.544546284373453,1.30284918798702,0.324075751168036
64,2.12326739855528,0.540275297581275,1.27252054134212,0.321779061361246
65,2.17112298165413,0.536103265211637,1.24421276529878,0.319527154379951
66,2.21929337423443,0.532026427550638,1.21775524323357,0.317321015503766
67,2.26777685177203,0.528041222753886,1.1929951228767,0.31516129814188
68,2.31657180573105,0.524144273848871,1.16979514266542,0.313048369483132
69,2.36567673753195,0.520332376800027,1.14803176108178,0.310982350958377
70,2.41509025274001,0.516602489539924,1.12759354188365,0.308963154020092
71,2.46481105547502,0.512951721880381,1.10837975617216,0.306990511711008
72,2.5148379430418,0.509377326226435,1.09029916878567,0.305064006458603
73,2.56516980078048,0.505876689024152,1.07326898186667,0.303183094496986
74,2.61580559713445,0.502447322880371,1.0572139128464,0.30134712728301
75,2.66674437893309,0.499086859298778,1.04206538771614,0.299555370239927
76,2.71798526688588,0.495793041982294,1.02776083345101,0.297807019130165
77,2.76952745128376,0.492563720656705,1.01424305593914,0.296101214329026
78,2.82137018790309,0.489396845374847,1.00145969183812,0.29443705324344
79,2.87351279410724,0.486290461264616,0.989362724509434,0.292813601094463
80,2.92595464514019,0.483242703687502,0.977908055628274,0.291229900258887
81,2.97869517060662,0.480251793777495,0.967055125282388,0.289684978344152
82,3.03173385113242,0.477316034332962,0.95676657439714,0.288177855151524
83,3.08507021519936,0.474433806036573,0.947007944189325,0.286707548665195
84,3.13870383614786,0.471603563980568,0.937747408084568,0.285273080189358
85,3.19263432934123,0.468823834476641,0.928955532155545,0.283873478741403
86,3.24686134948526,0.466093212131477,0.920605060667365,0.282507784796795
87,3.30138458809646,0.463410357170572,0.912670723768878,0.281175053470152
88,3.35620377111282,0.460773992994406,0.905129064754796,0.279874357207033
89,3.4113186566406,0.458182903952283,0.897958284655329,0.27860478805216
90,3.46672903283098,0.455635933320332,0.891138102194522,0.277365459551931
91,3.52243471588044,0.453131981471177,0.884649627404056,0.276155508342141
92,3.57843554814876,0.450670004223711,0.87847524739076,0.274974095465647
93,3.63473139638881,0.448249011362257,0.872598522939213,0.273820407459264
94,3.69132215008224,0.44586806531513,0.867004094789565,0.272693657244334
95,3.74820771987552,0.443526279983312,0.861677598568258,0.271593084851155
96,3.80538803611067,0.441222819710546,0.856605587469358,0.270517958003661
97,3.86286304744531,0.43895689838672,0.851775461888537,0.269467572587424
98,3.92063271955677,0.4367277786769,0.847175405302921,0.268441253021071
99,3.97869703392492,0.43453477136883,0.842794325769904,0.267438352548651
100,4.03705598668868,0.432377234832117,0.838621802487731,0.266458253468128
101,4.09570958757105,0.430254574582705,0.834648036922192,0.265500367309186
102,4.15465785886768,0.428166242946551,0.830863808057545,0.264564134971725
103,4.2139008344939,0.426111738816761,0.827260431377312,0.263649026834814
104,4.27343855908509,0.424090607498676,0.823829721222371,0.262754542844486
105,4.33327108714533,0.422102440637701,0.820563956210965,0.261880212587509
106,4.39339848223904,0.420146876224856,0.817455847437662,0.261025595357168
107,4.45382081622013,0.418223598675278,0.814498509197451,0.260190280216074
108,4.51453816849319,0.416332338975079,0.811685432006767,0.259373886060224
109,4.57555062530071,0.414472874892145,0.809010457716057,0.258576061687663
