Temp_K,tauRad_us,tauSRH_us,tauAug_us,Total_us
50,3.16675198830389,0.209232042368044,2.13645142645785e+21,0.196264549881182
51,3.25875082894507,0.207170610319097,7.55142508048911e+20,0.194787276613444
52,3.35150992051544,0.205168939333584,2.74872203247699e+20,0.193333658352086
53,3.44502056697265,0.203224199366073,1.02928028121719e+20,0.191903666382912
54,3.53927452240722,0.201333745328163,3.96147320510046e+19,0.19049719840677
55,3.63426397203935,0.199495102029155,1.56593551014868e+19,0.189114090868903
56,3.72998151363186,0.197705950624549,6.35316095631213e+18,0.187754129542024
57,3.82642013932865,0.19596411640134,2.64376776874015e+18,0.186417058617825
58,3.92357321793073,0.19426755775125,1.12770518366297e+18,0.185102588523322
59,4.02143447762333,0.1926143562019,4.9274756046131e+17,0.183810402646053
60,4.11999798916768,0.191002707392134,2.20405044711835e+17,0.182540163124804
61,4.21925814957084,0.189430912891579,1.00853651077024e+17,0.18129151583941
62,4.31920966624531,0.187897372776537,4.71774264647325e+16,0.180064094713545
63,4.41984754166907,0.186400578884581,2.2544749338712e+16,0.178857525427806
64,4.52116705855427,0.184939108679239,1.09981573152544e+16,0.177671428626204
65,4.62316376553094,0.183511619663856,5.47335522038866e+15,0.176505422687172
66,4.72583346334985,0.182116844290519,2.77680538864456e+15,0.17535912611992
67,4.82917219160627,0.180753585315806,1.4351559283607e+15,0.174232159638201
68,4.93317621598435,0.179420711560288,755134947934491,0.173124147956112
69,5.0378420160197,0.178117154033215,404239987040753,0.172034721344125
70,5.14316627337578,0.176841902387832,220023368024463,0.170963516978084
71,5.24914586062789,0.175594001676241,121687962295674,0.169910180109251
72,5.35577783054692,0.174372549375859,68346982240149.3,0.16887436507942
73,5.46305940587362,0.173176692662253,38961622645372.7,0.167855736201747
74,5.57098796957272,0.17200562590559,22530105517751.6,0.166853968524939
75,5.67956105555535,0.170858588370135,13208998111064.6,0.165868748495972
76,5.78877633985689,0.169734862098148,7847625336086.62,0.164899774534321
77,5.8986316322571,0.168633769961325,4722356269727.3,0.163946757528837
78,6.00912486832835,0.167554673864467,2876938514999.85,0.163009421266836
79,6.12025410189747,0.166496973087496,1773624094728.8,0.162087502803601
80,6.2320174979063,0.165460102753221,1106032416114.11,0.161180752779345
81,6.34441332565602,0.164443532409409,697386417029.749,0.160288935689708
82,6.45743995241975,0.163446764714775,444436982218.403,0.159411830115008
83,6.57109583740849,0.162469334219468,286165331719.009,0.158549228912768
84,6.68537952607487,0.1615108062315,186097276610.285,0.157700939377436
85,6.80028964473974,0.16057077576136,122188945644.031,0.156866783370696
86,6.91582489552668,0.159648866537804,80975161759.4714,0.156046597425369
87,7.03198405158952,0.158744730088454,54145818161.7929,0.155240232825497
88,7.14876595261842,0.157858044879474,36520959142.8907,0.154447555664964
89,7.26616950061027,0.156988515509153,24840484666.4286,0.153668446886701
90,7.38419365588912,0.156135871950739,17033359476.3106,0.152902802304359
91,7.50283743336308,0.15529986884034,11771982930.2338,0.152150532608154
92,7.62209989900389,0.154480284806166,8197840305.44501,0.151411563356444
93,7.74198016653562,0.153676921835776,5751031818.77779,0.150685834954498
94,7.86247739431942,0.152889604678368,4063393061.07271,0.149973302621832
95,7.98359078242065,0.152118180279517,2890899494.69153,0.149273936349412
96,8.10531956984523,0.151362517246037,2070553609.65582,0.148587720847987
97,8.22766303193163,0.150622505339,1492661136.44734,0.147914655488755
98,8.35062047788458,0.149898054993161,1082860927.37442,0.14725475423756
99,8.47419124843638,0.149189096861319,790386760.565217,0.146608045583796
100,8.5983747136208,0.148495581382362,580342185.424718,0.145974572465167
101,8.723170270644,0.147817478371965,428579278.627759,0.145354392189484
102,8.84857734183557,0.147154776635109,318279504.591021,0.144747576354629
103,8.9745953726619,0.14650748359975,237655211.829335,0.144154210767886
104,9.10122382978194,0.145875624971178,178394105.225144,0.14357439536579
