0,25,38,39,40
77,0.74455,0.57085,0.54933,0.4804
90,0.65592,0.48369,0.43354,0.40207
103,0.56504,0.38608,0.35065,0.36102
117,0.44842,0.28621,0.25562,0.2538
130,0.37609,0.26329,0.26279,0.24096
143,0.34311,0.26072,0.24169,0.2236
157,0.31618,0.23731,0.23098,0.2257
170,0.35139,0.25384,0.24683,0.25334
185,0.3503,0.28986,0.2642,0.23263
200,0.34304,0.31011,0.29961,0.28161
215,0.33593,0.33024,0.33086,0.30932
230,0.38612,0.29941,0.30941,0.29119
250,0.3049,0.23491,0.24914,0.21572
270,0.14419,0.14145,0.14538,0.13202
295,0.079332,0.06591,0.064796,0.059701
