InAs (from Palik)	
um
nk
1.033	3.613	0.352
1.24	3.548	0.312
1.378	3.516	0.272
1.459	3.522133333	0.232
1.55	3.528266667	0.21
1.653	3.5344	0.191
1.771	3.540533333	0.183
1.907	3.546666667	0.167
2.066	3.5528	0.161
2.254	3.558933333	0.149
2.48	3.565066667	0.136
2.755	3.5712	0.12
3.1	3.577333333	0.0962
3.351	3.583466667	0.064
3.397	3.5896	0.0513
3.444	3.595733333	0.037
3.493	3.601866667	0.0217
3.542	3.608	0.00958
3.647	3.556	0.00229
3.757	3.53	0.000508
3.875	3.512	0.000123
4	3.499	0.0
4.133	3.488	0.0
4.275	3.478	0.0
4.428	3.47	0.0
4.592	3.463	0.0
4.769	3.457	0.0
4.959	3.451	0.0
5.166	3.445	0.0
5.391	3.441	0.0
5.636	3.436	0.0
5.904	3.432	0.0
6.199	3.427	0.0
6.526	3.423	0.0
6.888	3.42	0.0
7.293	3.416	0.0
7.749	3.412	0.0
8.266	3.408	0.0
8.856	3.404	0.0
9.537	3.4	0.0
10	3.402	0.0
10.33	3.394	0.0
11.11	3.398	0.0
11.27	3.388	0.0
12.4	3.381	0.0
12.5	3.391	0.0
13.78	3.372	0.0
14.29	3.381	0.0
15.5	3.358	0.0
16.67	3.365	0.0
17.71	3.338	0.0
20	3.334	0.0
20.66	3.304	0.0
21.98	3.3011	0.00192
22.22	3.2982	0.00336
22.47	3.2953	0.00823
22.73	3.2924	0.00561
22.99	3.2895	0.00585
23.26	3.2866	0.00796
23.53	3.2837	0.00749
23.81	3.2808	0.0072
24.1	3.2779	0.0046
24.39	3.275	0.00388
24.69	3.256	0.00255
24.8	3.237	0.002606667
25	3.264	0.002663333
26.32	3.252285714	0.00272
26.67	3.240571429	0.0034
27.03	3.228857143	0.00473
27.38	3.217142857	0.00654
27.78	3.205428571	0.00707
28.17	3.193714286	0.00673
28.57	3.182	0.00546
28.99	3.1432	0.00507
29.41	3.1044	0.00515
29.85	3.0656	0.00546
30.3	3.0268	0.00338
33.33	2.988	0.00331
33.9	2.95	0.00324
34.48	2.912	0.00494
34.48	3.18	0.04
35.09	3.1	0.06
35.71	2.808	0.0131
35.71	3	0.17
36.36	2.93	0.27
37.04	2.658	0.0545
37.74	2.92	0.4
38.46	2.418	0.0474
38.46	2.73	0.4
38.76	2.352	0.071
39.06	2.277	0.081
39.22	2.37	0.5
39.37	2.19	0.094
39.68	2.089	0.11
40	1.97	0.0637
40.32	1.827	0.16
40.32	1.88	0.97
40.65	1.6	1.1
40.65	1.649	0.21
40.98	1.424	0.28
40.98	1.24	1.44
41.32	0.98	2.02
41.32	1.128	0.41
41.67	0.779	0.71
41.67	0.92	2.77
42.02	1.08	3.5
42.02	0.563	1.19
42.37	0.493	1.67
42.37	1.271	4.2
42.74	2.08	4.87
42.74	0.485	2.14
43.1	0.514	2.62
43.1	2.79	5.17
43.48	3.3	5.36
43.48	0.578	3.15
43.86	0.69	3.76
43.86	3.85	5.6
44.25	4.35	5.83
44.25	0.882	4.5
44.64	1.24	5.45
44.64	4.9	6.12
44.84	5.9	6.53
44.84	1.99	6.76
45.45	3.99	8.44
45.45	7.5	6.4
